Date(D-M-Y),PROJECT,Decription,Type,Qty,Rate,Amount,Inventory,ACCOUNT HEAD,Memo / Note/ Comments,Vendor Name
26/11/2025,Kuddus Nur's Heaven,"Lamenting: 1,320

Food & sweets: 7,720

Sondesh: 1,100

Transport: 30 + 40 + 40 + 120 + 130 + 120 + 120 = 600

Arshadul: 500

Hojur: 1,000",Credit,,,13340,,General Expense,,
1/12/2025,Kuddus Nur's Heaven,Stone,Credit,,,16730,4,Stone Purchase,black 4ton stone 4350,SS Trading 
1/12/2025,Kuddus Nur's Heaven,Aggregate 50ft + Driver and unloading,Credit,,,7000,,Aggregate Purchase,,
3/12/2025,Kuddus Nur's Heaven,Sand,Credit,,,4600,360,Sand Purchase,,Bismillah Suppliers
4/12/2025,Kuddus Nur's Heaven,"BSRM steel 20mm - 1945kg 12mm-524kg total 2464 kg, Carring & unloading",Credit,2464,86.5,216970,,Steel/Rod Purchase,DUE,M/s Aziz Trading
6/12/2025,Kuddus Nur's Heaven,Bricks 250 Pc + driver and unloading,Credit,,,3055,250,Bricks Purchase,,
4/12/2025,Kuddus Nur's Heaven,Silicion Sand (105*360)+(360*26)+500,Credit,360,,47660,360,Silicon Sand Purchase,bkash transfer to 01821199699,
5/12/2025,Kuddus Nur's Heaven,100 Bag Cement,Credit,100,490,49000,100,Cement Purchase,DUE ,M/s Aziz Trading
6/12/2025,Kuddus Nur's Heaven,steel 20mm 2 ton 12mm 500kg total 1386,Credit,1386,88.5 + 2239,124900,,Steel/Rod Purchase,DUE ,M/s Aziz Trading
6/12/2025,Kuddus Nur's Heaven,Aggregate 100ft,Credit,,,13000,,Aggregate Purchase,,
6/12/2025,Kuddus Nur's Heaven,Holegen Light 1350 + 500 for  light platte + logistic ,Credit,,,2150,,"Utilities (Electricity, Internet)",,
7/12/2025,Kuddus Nur's Heaven,Stone 15tone,Credit,,,66420,15.27,Stone Purchase,"962,199,621,696,223",SS Trading 
7/12/2025,Kuddus Nur's Heaven,Arshadul Boksis + silicion Sand,Credit,,,300,,Bonus,,
7/12/2025,Kuddus Nur's Heaven,Belal Hossain ,Debit,,,120000,,Apartment Sales,,
10/12/2025,Kuddus Nur's Heaven,Working State Payment For Constraction,Credit,,,50000,,Contractor Bill,by cash in office,
28/11/2025,Kuddus Nur's Heaven,Engineer Visit,Credit,,,2000,,Engineer/Consultant Fee,,
2/12/2025,Kuddus Nur's Heaven,Engineer Visit,Credit,,,2000,,Engineer/Consultant Fee,,
8/12/2025,Kuddus Nur's Heaven,Engineer Visit,Credit,,,2000,,Engineer/Consultant Fee,,
9/12/2025,Kuddus Nur's Heaven,CDA enginner visit with ghus,Credit,,,15000,,Engineer/Consultant Fee,,
12/12/2025,Kuddus Nur's Heaven,extra provide boksis to 4th   men on site,Credit,,,500,,Bonus,,
14/12/2025,Kuddus Nur's Heaven,4 time stone Carring Cost,Credit,,,6100,,Transportation/Carrying Cost,,KAJI MOHAMMAD
14/12/2025,Kuddus Nur's Heaven,"Mati Kata , Carring and posting",Credit,,,7650,,Labour Payment,,
17/12/2025,Kuddus Nur's Heaven,Electric Cost,Credit,,,4500,,"Utilities (Electricity, Internet)",3359-1152-3179-5648-3384 10 number,
